id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
855050336912355203,North Beach,entire_home,,Puerto Madryn,-42.7563015,-65.03751729999999,"['2 camas', '1 dormitorio', '1 baño']",2023-07-06,2023-07-12,,$38 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
51484364,Hermoso Monoambiente con Vista al Mar y Pileta,entire_home,,Puerto Madryn,-42.75577472908415,-65.03726514655864,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama']",2023-07-21,2023-07-26,$18 USD,$24 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
800749301724167838,Departamento Bella Vista,entire_home,"5,0 (6)",Puerto Madryn,-42.76800685452562,-65.03310833126307,"['3 camas', '1 dormitorio', '1 baño', 'Calificado con 5 de 5 en limpieza']",2023-08-01,2023-08-08,,$43 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
50769917,New Lil’ & Cozy - 100mts de la playa Puerto Madryn,entire_home,"4,91 (70)",Puerto Madryn,-42.77759,-65.02589,"['1 cama', '1 dormitorio', '1 baño', '1 cama queen', 'Calificado con 4,8 de 5 en limpieza']",2023-07-09,2023-07-14,,$41 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
916738743930751566,Front Beach,entire_home,Nuevo,Puerto Madryn,-42.77054,-65.03081,"['2 camas', 'Monoambiente', '1 baño']",2023-07-01,2023-07-06,,$35 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
27877802,Luxury top 11th floor with the best 360 views,entire_home,"4,96 (95)",Puerto Madryn,-42.76833,-65.0321,"['4 camas', '2 dormitorios', '2,5 baños', '1 cama king', '3 camas de una plaza', 'Calificado con 4,9 de 5 en limpieza']",2023-07-06,2023-07-11,,$122 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
710001905979665306,Departamento de ensueño en barrio residencial,entire_home,"4,86 (7)",Puerto Madryn,-42.78191,-65.01846,"['3 camas', '2 dormitorios', '1 baño', 'Calificado con 4,6 de 5 en limpieza']",2023-07-03,2023-07-09,$40 USD,$68 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
733872239559572922,Departamento céntrico 28 05,entire_home,"4,82 (17)",Puerto Madryn,-42.76473,-65.03353,"['2 camas', 'Monoambiente', '1 baño', 'Calificado con 4,8 de 5 en limpieza']",2023-07-05,2023-07-12,,$25 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
771163634190966787,Palmeras de la Costa Luxury,entire_home,,Puerto Madryn,-42.7716337,-65.0290713,"['3 camas', '2 dormitorios', '3 baños']",2023-07-01,2023-07-06,$45 USD,$113 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
29901714,Ninfas,entire_home,"4,96 (75)",Puerto Madryn,-42.7538,-65.03627,"['3 camas', '1 dormitorio', '1 baño', '2 camas queen', '1 sofá cama', 'Calificado con 5 de 5 en limpieza']",2023-07-02,2023-07-07,,$87 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
53474704,On the Spot!(3pax) Pto Madryn - centro 50m del mar,entire_home,"4,91 (67)",Puerto Madryn,-42.76864,-65.03213,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama', 'Calificado con 4,9 de 5 en limpieza']",2023-07-23,2023-07-28,,$41 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
648024232660783653,Hermoso Depto en Comodoro!,entire_home,"4,57 (14)",Comodoro Rivadavia,-45.81441,-67.46323,"['2 camas', '1 dormitorio', '1 ,5 baños', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-08,$53 USD,$59 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
892142653549224219,céntrico 2819,entire_home,Nuevo,Puerto Madryn,-42.76506,-65.03529,"['2 camas', 'Monoambiente', '1 baño']",2023-07-10,2023-07-15,,$22 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
838330910169982904,Dpto céntrico a 50mts del mar!,entire_home,"4,6 (5)",Puerto Madryn,-42.76887,-65.03272,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama', 'Calificado con 4,6 de 5 en limpieza']",2023-07-01,2023-07-06,,$34 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
615210210554179091,Trelew Apart 8,entire_home,"4,94 (18)",Trelew,-43.25534,-65.31097,"['3 camas', 'Monoambiente', '1 baño', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,$32 USD,$45 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
767503846951993933,Brisa de Mar - Puerto Madryn,entire_home,"4,95 (22)",Puerto Madryn,-42.7716337,-65.0290713,"['3 camas', '2 dormitorios', '2,5 baños', 'Calificado con 4,9 de 5 en limpieza']",2023-08-07,2023-08-12,$34 USD,$48 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
601433498805560904,"Hermoso departamento en Esquel, amplio y luminoso",entire_home,"4,92 (64)",Esquel,-42.91027,-71.31499,"['3 camas', '2 dormitorios', '1 baño', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,$31 USD,$36 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
37527056,Ventanal al mar,entire_home,"4,94 (109)",Puerto Madryn,-42.76985,-65.03259,"['4 camas', '1 dormitorio', '1 baño', '1 cama queen', '1 cama doble', 'más', 'Calificado con 4,9 de 5 en limpieza']",2023-07-11,2023-07-16,,$47 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
53472591,On the Spot!(5pax) Pto Madryn - centro 50m del mar,entire_home,"4,77 (44)",Puerto Madryn,-42.767826,-65.033134,"['3 camas', '2 dormitorios', '1 baño', '2 camas dobles', '1 sofá cama', 'Calificado con 4,8 de 5 en limpieza']",2023-07-01,2023-07-06,,$61 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
53891791,Vista al mar- Departamento a 50 metros del mar,entire_home,"4,89 (35)",Puerto Madryn,-42.77496,-65.02465,"['3 camas', '2 dormitorios', '1 ,5 baños', '1 cama queen', '2 camas de una plaza', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,$40 USD,$45 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
49030081,Vista Atlantica,entire_home,"5,0 (7)",Comodoro Rivadavia,-45.86703,-67.48901,"['1 cama', 'Monoambiente', '1 baño', '1 cama queen', 'Calificado con 4,9 de 5 en limpieza']",2023-07-01,2023-07-06,,$50 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
25584751,"Apartamentos ""El Atardecer"" The Sunset """,entire_home,"4,66 (53)",Puerto Piramides,-42.56882,-64.27818,"['4 camas', '2 dormitorios', '1 baño', '1 cama doble', '3 camas de una plaza', 'Calificado con 4,6 de 5 en limpieza']",2023-07-01,2023-07-06,,$138 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
38289617,Casa San Benito,entire_home,"5,0 (34)",Trelew,-43.27444,-65.28114,"['2 camas', '1 dormitorio', '1 baño', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$39 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
653750937066514352,Trelew Apart 7,entire_home,"5,0 (7)",Trelew,-43.25614,-65.31115,"['3 camas', '1 dormitorio', '1 baño', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,$35 USD,$50 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
40003837,Gales 1,entire_home,"4,98 (93)",Puerto Madryn,-42.77106,-65.03256,"['3 camas', '1 dormitorio', '1 baño', '1 cama doble', '2 camas de una plaza', 'Calificado con 4,9 de 5 en limpieza']",2023-07-05,2023-07-10,,$40 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
24102728,Apartamento Italia,entire_home,"4,96 (51)",Comodoro Rivadavia,-45.86496,-67.48777,"['2 camas', '1 dormitorio', '1 baño', '1 cama king', '1 cama de una plaza', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$35 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
32919267,Loft Patagónico,entire_home,"4,94 (109)",Esquel,-42.91138,-71.31515,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 cama de una plaza', 'Calificado con 4,9 de 5 en limpieza']",2023-07-21,2023-07-26,$29 USD,$37 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
