id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
42980235,Depto. Centro de Neuquén. Wifi. Late check out.,entire_home,"4,71 (165)",Neuquén,-38.95219,-68.05738,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-07-01,2023-07-06,,$23 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
910778141360333867,Cómodo Monoambiente en Neuquen-zona Alto Comahue,entire_home,Nuevo,Neuquén,-38.9422833,-68.064472,"['1 cama', '1 dormitorio', '1 baño', 'Wifi']",2023-08-01,2023-08-08,$14 USD,$18 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
50265327,Moderno monoambiente Neuquino - El Bunker 128,entire_home,"4,62 (47)",Neuquén,-38.957577,-68.050903,"['1 cama', 'Monoambiente', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,7 de 5 en limpieza']",2023-07-01,2023-07-06,$20 USD,$22 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
716439197957114546,Hermoso departamento de un dormitorio en Neuquén,entire_home,"4,97 (32)",Neuquén,-38.9476621,-68.0607723,"['2 camas', '1 dormitorio', '1 baño', '1 cama king', '1 sofá cama', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-07-01,2023-07-06,,$49 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
12904217,"Depto 1 dorm céntrico, excelente!",entire_home,"4,83 (122)",Neuquen,-38.95335,-68.05235,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,7 de 5 en limpieza']",2023-07-02,2023-07-07,,$47 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
42407010,Luminoso Centro + Cochera (50mts RN22),entire_home,"4,56 (94)",BVH,-38.95924,-68.05126,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 cama de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-07-01,2023-07-07,,$23 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
42169384,Excelente Departamento Centro de NQN !!!,entire_home,"4,91 (33)",Neuquén,-38.95383,-68.05345,"['2 camas', '1 dormitorio', '1 baño', '1 cama de una plaza', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-07-01,2023-07-08,,$29 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
553742601880782560,Depto con hermosa deco en zona centro de Neuquen,entire_home,"4,95 (19)",Neuquén,-38.94962,-68.05379,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-08-01,2023-08-06,,$28 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
875307821347794859,Mono Ambiente Céntrico,entire_home,"4,25 (4)",Neuquén,-38.95409797346549,-68.05433079600334,"['1 cama', 'Monoambiente', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,5 de 5 en limpieza']",2023-07-01,2023-07-07,,$27 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
871162978337725402,Relajante habitación Dpto.  pleno centro Neuquén,private_room,Nuevo,Neuquén,-38.95141,-68.06055,"['1 cama', '2 dormitorios', '1,5 baños compartidos', '1 cama doble', 'Wifi']",2023-07-01,2023-07-07,,$19 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
54231128,Departamento amplio luminoso y hermoso en Neuquén,entire_home,"4,86 (56)",Neuquén,-38.95493,-68.063,"['3 camas', '2 dormitorios', '1 ,5 baños', '1 cama queen', '2 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-07-01,2023-07-06,,$45 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
831218738602950393,Mono Ambiente céntrico nuevo,entire_home,"4,77 (13)",Neuquén,-38.95084,-68.07032,"['2 camas', 'Monoambiente', '1 baño', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-09,2023-07-14,,$35 USD,noche,298,2023-06-24,2023-05-01,239.9193548387097
