id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
602224536421547198,Casa de artista con senderos & arroyo,entire_home,"5,0 (28)",Villa Traful,-40.65294,-71.41208,"['3 camas', '2 dormitorios', '1 baño', '1 cama doble', '2 camas de una plaza', 'Calificado con 5 de 5 en limpieza']",2023-07-04,2023-07-09,,$107 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
31357298,Cabaña sobre el lago.,entire_home,"4,82 (78)",Villa La Angostura,-40.76661,-71.66657,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi']",2023-07-14,2023-07-19,,$148 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
50312661,Bariloche Mountain Tiny,entire_home,"5,0 (46)",San Carlos de Bariloche,-41.11092,-71.44314,"['1 cama', '1 dormitorio', '1 baño', '1 cama queen', 'Estacionamiento gratis', 'Wifi']",2023-09-05,2023-09-10,,$72 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
46378188,Villa Labrador a orillas del lago. Cabaña LENGA,entire_home,"4,93 (14)",San Carlos de Bariloche,-41.10077,-71.46574,"['4 camas', '2 dormitorios', '1 baño', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-08-07,2023-08-13,,$244 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
35064808,"Cabaña en el bosque, Bariloche, Patagonia",entire_home,"5,0 (58)",Bariloche,-41.04942,-71.5015,"['3 camas', '2 dormitorios', '1 baño', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-09-04,2023-09-09,,$122 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
36942457,Un Vistón Tiny House a 10 min del Centro,entire_home,"4,89 (37)",San Martin de los Andes,-40.12007,-71.2899,"['2 camas', '2 dormitorios', '1 baño', '1 cama doble', '1 cama de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-07-11,2023-07-16,,$82 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
46324472,Villa Labrador a orillas del lago. Cabaña ALERCE,entire_home,"5,0 (5)",San Carlos de Bariloche,-41.10157,-71.46358,"['2 baños', '2 camas dobles', '4 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-08-27,2023-09-01,,$325 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
7431677,Casa Don Arelauquen Nueva y Moderna,entire_home,"4,98 (51)",San Carlos de Bariloche,-41.16773,-71.39424,"['5 camas', '3 dormitorios', '3,5 baños', '2 camas dobles', '3 camas de una plaza', 'Estacionamiento gratis', 'Wifi']",2023-08-13,2023-08-18,,$360 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
40235777,ALIWEN BARILOCHE,entire_home,"5,0 (12)",San Carlos de Bariloche,-41.1836,-71.32512,"['5 camas', '3 dormitorios', '3 baños', '1 cama doble', '4 camas de una plaza', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,,$250 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
897789125691156350,Hermosa Vista y Tranquilidad. Cercano al Centro.,entire_home,Nuevo,San Carlos de Bariloche,-41.13387,-71.28522,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Wifi']",2023-09-17,2023-09-22,,$50 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
