id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
32894872,J) Cama en cuarto privado,private_room,"4,82 (50)",Ushuaia,-54.79645919799805,-68.2978286743164,"['1 cama', '1 dormitorio', '1,5 baños compartidos', '1 cama de una plaza', 'Calificado con 4,6 de 5 en limpieza']",2023-07-01,2023-07-07,,$13 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
774105053504937731,Apartamento y spa Andes,entire_home,"4,6 (5)",Ushuaia,-54.79365,-68.23339,"['1 cama', '1 dormitorio', '1 baño', 'Wifi', 'Lavarropas', 'Cocina', 'Calefacción', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-08,$27 USD,$75 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
864736714535995651,Malvinas 941,entire_home,"5,0 (4)",Río Grande,-53.7820597,-67.7168619,"['2 camas', '1 dormitorio', '1 baño', 'Wifi', 'Cocina', 'Calefacción', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$25 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
709964870974958544,Cabaña Andina de Montaña,entire_home,"4,63 (19)",Ushuaia,-54.77835,-68.21247,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama', 'Cocina', 'Calefacción', 'Calificado con 4,6 de 5 en limpieza']",2023-07-19,2023-07-24,$38 USD,$46 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
54070559,Departamento centrico el Bonito Ushuaia,entire_home,"4,95 (42)",Ushuaia,-54.80543,-68.319,"['3 camas', '1 dormitorio', '1 baño', '1 cama queen', '2 sofás cama', 'Wifi', 'Cocina', 'Calefacción', 'Calificado con 4,8 de 5 en limpieza']",2023-08-29,2023-09-05,,$33 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
7021235,Habitación independiente con desayuno en Ushuaia,private_room,"4,96 (76)",Ushuaia,-54.79613,-68.3067,"['2 camas', '1 dormitorio', '1 baño privado', '1 cama de una plaza', 'Wifi', 'Calefacción', 'Calificado con 5 de 5 en limpieza']",2023-07-05,2023-07-10,,$33 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
54273565,Bonito departamento para disfrutar Ushuaia,entire_home,"4,98 (99)",Ushuaia,-54.80579,-68.31619,"['2 camas', 'Monoambiente', '1 baño', '1 cama king', '1 cama de una plaza', 'Wifi', 'Lavarropas', 'Cocina', 'Calefacción', 'Calificado con 5 de 5 en limpieza']",2023-11-06,2023-11-12,,$42 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
42025621,Lengas Loft,entire_home,,Ushuaia,-54.8321462,-68.3565526,"['3 camas', 'Monoambiente', '1 baño', 'Wifi', 'Cocina', 'Calefacción']",2023-07-20,2023-07-27,$22 USD,$24 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
889581630642800275,Beagle Suites - Apt del Canal,entire_home,Nuevo,Ushuaia,-54.84303,-68.38037,"['1 cama', 'Monoambiente', '1 baño', 'Wifi', 'Cocina', 'Calefacción']",2023-08-02,2023-08-07,,$40 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
5302651,"Excelente ubicacion, pleno centro!",entire_home,"4,94 (310)",Ushuaia,-54.80533,-68.30052,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Wifi', 'Lavarropas', 'Cocina', 'Calefacción', 'Calificado con 4,9 de 5 en limpieza']",2023-07-29,2023-08-03,,$82 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
